Date,Open,High,Low,Close
12/30/22,1.2056,1.2108,1.2011,1.2098
12/29/22,1.2017,1.208,1.2014,1.2055
12/28/22,1.2024,1.2125,1.2002,1.2021
12/27/22,1.2062,1.2114,1.2002,1.2031
12/26/22,1.2053,1.2086,1.204,1.2069
12/23/22,1.2041,1.2091,1.2014,1.2051
12/22/22,1.2082,1.2148,1.1994,1.2045
12/21/22,1.2177,1.2193,1.2055,1.2085
12/20/22,1.2148,1.2224,1.2085,1.2185
12/19/22,1.2144,1.2242,1.212,1.2145
12/16/22,1.2178,1.2223,1.1977,1.2141
12/15/22,1.2424,1.2431,1.2156,1.2179
12/14/22,1.2363,1.2447,1.2342,1.2425
12/13/22,1.2271,1.2444,1.2248,1.2365
12/12/2022,1.2259,1.23,1.2208,1.2273
12/09/2022,1.2238,1.2324,1.2215,1.2262
12/08/2022,1.2201,1.2248,1.2155,1.2235
12/07/2022,1.2139,1.2235,1.2106,1.2207
12/06/2022,1.2191,1.2269,1.2127,1.213
12/05/2022,1.23,1.2346,1.2162,1.2192
12/02/2022,1.2253,1.23,1.2137,1.2294
12/01/2022,1.206,1.2304,1.2049,1.2256
11/30/22,1.1953,1.2087,1.19,1.2058
11/29/22,1.1961,1.2065,1.1945,1.1951
11/28/22,1.2091,1.2118,1.1941,1.196
11/25/22,1.2116,1.2129,1.2059,1.2094
11/24/22,1.2056,1.2155,1.2047,1.2117
11/23/22,1.1885,1.2081,1.1873,1.2055
11/22/22,1.1823,1.1902,1.1819,1.1887
11/21/22,1.1895,1.1935,1.1779,1.1824
11/18/22,1.1865,1.1952,1.185,1.1888
11/17/22,1.1916,1.1958,1.1763,1.1866
11/16/22,1.1864,1.1942,1.1832,1.1915
11/15/22,1.1759,1.2027,1.1741,1.1866
11/14/22,1.1812,1.1829,1.1711,1.176
11/11/2022,1.1692,1.1856,1.1648,1.1837
11/10/2022,1.1355,1.1731,1.1353,1.1715
11/09/2022,1.1543,1.1567,1.1334,1.1357
11/08/2022,1.1515,1.1598,1.143,1.1546
11/07/2022,1.138,1.1542,1.1293,1.1514
11/04/2022,1.1158,1.1383,1.1149,1.1377
11/03/2022,1.1391,1.1454,1.1151,1.1159
11/02/2022,1.1484,1.1565,1.1387,1.1392
11/01/2022,1.1465,1.1567,1.1438,1.1482
10/31/22,1.1614,1.1614,1.146,1.1464
10/28/22,1.1563,1.1624,1.1504,1.1617
10/27/22,1.1651,1.1651,1.155,1.1565
10/26/22,1.1473,1.1639,1.143,1.1628
10/25/22,1.1275,1.1498,1.1269,1.1472
10/24/22,1.1305,1.1409,1.1258,1.1279
10/21/22,1.1244,1.1316,1.1061,1.1304
10/20/22,1.1219,1.1337,1.1172,1.1239
10/19/22,1.1323,1.1357,1.1185,1.1218
10/18/22,1.136,1.1411,1.1255,1.1322
10/17/22,1.118,1.144,1.118,1.1359
10/14/22,1.1329,1.1367,1.1153,1.1183
10/13/22,1.1101,1.1381,1.1058,1.1331
10/12/2022,1.0966,1.1133,1.0925,1.1102
10/11/2022,1.1056,1.118,1.0952,1.0968
10/10/2022,1.109,1.1112,1.1021,1.1057
10/07/2022,1.1159,1.1225,1.1055,1.1093
10/06/2022,1.1329,1.1383,1.1116,1.1162
10/05/2022,1.1497,1.1497,1.1226,1.1327
10/04/2022,1.1324,1.149,1.128,1.1475
10/03/2022,1.1169,1.1335,1.1085,1.1322
09/30/22,1.1118,1.1233,1.1025,1.1168
09/29/22,1.089,1.1123,1.0763,1.1123
09/28/22,1.0732,1.0916,1.0541,1.0891
09/27/22,1.0684,1.0838,1.0654,1.0734
09/26/22,1.085,1.0916,1.0349,1.0688
09/23/22,1.1255,1.1274,1.0841,1.085
09/22/22,1.1269,1.1363,1.1212,1.1254
09/21/22,1.1379,1.1385,1.1239,1.1271
09/20/22,1.1431,1.1461,1.1357,1.1381
09/19/22,1.1414,1.1442,1.1355,1.1435
09/16/22,1.1469,1.1481,1.1351,1.1423
09/15/22,1.1542,1.1552,1.1461,1.1468
09/14/22,1.1492,1.159,1.148,1.1541
09/13/22,1.1684,1.1739,1.1492,1.1494
09/12/2022,1.1601,1.1711,1.1601,1.1683
09/09/2022,1.1502,1.1648,1.1497,1.1588
09/08/2022,1.1527,1.1561,1.1461,1.1504
09/07/2022,1.152,1.1541,1.1405,1.1535
09/06/2022,1.1517,1.1609,1.1496,1.1519
